MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
003139008696,Hardware,569471,2,NA
003139097679,Disposables,570123,5,NA
003139385679,Disposables,569421,9,NA
003139403679,Disposables,569421,2,NA
003139427679,Disposables,569421,9,NA
003140201679,Software,569966,10,NA
003140496696,Disposables,569301,9,NA
003140523679,Disposables,570226,5,NA
003142997800,Disposables,569570,6,NA
003143070679,Disposables,569422,6,NA
003143167679,Hardware,570551,9,NA
003143416868,Disposables,569570,7,NA
003143425868,Disposables,569570,2,NA
003145294800,Disposables,569562,3,NA
003145759679,Disposables,570241,4,NA
003145767679,Disposables,570241,7,NA
003145794679,Software,569966,4,NA
003145802679,Software,569966,9,NA
003145810679,Software,569966,9,NA
003145818679,Software,569966,1,NA
003145826679,Software,569966,8,NA
003145835679,Software,569966,6,NA
003145996679,Disposables,570556,5,NA
003146005679,Disposables,570556,1,NA
003146061679,Disposables,570556,3,NA
003146365679,Disposables,570556,2,NA
003146383679,Disposables,570556,9,NA
003146391679,Disposables,570556,2,NA
003146399679,Disposables,570556,1,NA
003146407679,Hardware,570551,7,NA
003146434679,Disposables,570556,8,NA
003146442679,Disposables,570556,1,NA
003146464679,Disposables,570556,5,NA
003146472679,Disposables,570556,8,NA
003146480679,Disposables,570556,4,NA
003146488679,Disposables,570556,2,NA
003146496679,Disposables,570556,9,NA
003146505679,Disposables,570556,3,NA
003147286679,Disposables,569722,2,NA
003147295679,Disposables,569722,4,NA
003147313679,Disposables,569722,7,NA
003147321679,Disposables,569722,9,NA
003147329679,Disposables,569722,7,NA
003151401800,Disposables,569563,4,NA
003151846679,Disposables,569722,6,NA
003157447680,Hardware,569471,2,NA
003159679679,Hardware,570551,7,NA
003161093679,Software,569966,7,NA
003163506679,Disposables,569222,3,NA
003175348696,Hardware,570551,10,NA
003177588868,Disposables,569568,10,x
003186033800,Disposables,569722,7,NA
003186041800,Disposables,569722,2,NA
003186045868,Disposables,569722,1,NA
003186079868,Disposables,569722,1,NA
003186087800,Disposables,569722,6,NA
003186122868,Disposables,569732,7,NA
003186138800,Disposables,569722,1,NA
003186152868,Disposables,569722,7,NA
003186316800,Disposables,569562,2,NA
003187242868,Disposables,569562,6,NA
003187264868,Disposables,569562,10,NA
